Timestamp,Heart Rate,RR Interval in seconds
2023-11-04 19:15:33+00:00,85,0.705
2023-11-04 19:15:34+00:00,85,0.713
2023-11-04 19:15:35+00:00,85,0.721
2023-11-04 19:15:35+00:00,85,0.719
2023-11-04 19:15:36+00:00,85,0.714
2023-11-04 19:15:37+00:00,85,0.703
2023-11-04 19:15:37+00:00,85,0.696
2023-11-04 19:15:38+00:00,85,0.686
2023-11-04 19:15:39+00:00,85,0.682
2023-11-04 19:15:40+00:00,86,0.68
2023-11-04 19:15:40+00:00,86,0.673
2023-11-04 19:15:41+00:00,86,0.673
2023-11-04 19:15:42+00:00,87,0.675
2023-11-04 19:15:42+00:00,87,0.678
2023-11-04 19:15:43+00:00,87,0.684
2023-11-04 19:15:44+00:00,87,0.694
2023-11-04 19:15:44+00:00,87,0.692
2023-11-04 19:15:45+00:00,87,0.693
2023-11-04 19:15:46+00:00,87,0.695
2023-11-04 19:15:46+00:00,87,0.69
2023-11-04 19:15:47+00:00,87,0.671
2023-11-04 19:15:48+00:00,87,0.662
2023-11-04 19:15:48+00:00,87,0.659
2023-11-04 19:15:49+00:00,88,0.653
2023-11-04 19:15:50+00:00,89,0.645
2023-11-04 19:15:50+00:00,89,0.649
2023-11-04 19:15:51+00:00,90,0.657
2023-11-04 19:15:52+00:00,90,0.668
2023-11-04 19:15:52+00:00,90,0.676
2023-11-04 19:15:53+00:00,90,0.686
2023-11-04 19:15:54+00:00,89,0.682
2023-11-04 19:15:54+00:00,89,0.684
2023-11-04 19:15:55+00:00,89,0.688
2023-11-04 19:15:56+00:00,89,0.688
2023-11-04 19:15:56+00:00,89,0.688
2023-11-04 19:15:57+00:00,88,0.687
2023-11-04 19:15:58+00:00,88,0.683
2023-11-04 19:15:58+00:00,88,0.684
2023-11-04 19:15:59+00:00,88,0.685
2023-11-04 19:16:00+00:00,88,0.684
2023-11-04 19:16:01+00:00,88,0.682
2023-11-04 19:16:01+00:00,88,0.695
2023-11-04 19:16:02+00:00,88,0.687
2023-11-04 19:16:03+00:00,88,0.678
2023-11-04 19:16:03+00:00,88,0.673
2023-11-04 19:16:04+00:00,88,0.666
2023-11-04 19:16:05+00:00,89,0.657
2023-11-04 19:16:05+00:00,89,0.657
2023-11-04 19:16:06+00:00,89,0.658
2023-11-04 19:16:07+00:00,89,0.662
2023-11-04 19:16:07+00:00,89,0.675
2023-11-04 19:16:08+00:00,90,0.69
2023-11-04 19:16:09+00:00,89,0.698
